,Product,Ratings,Reviews
1,"Bluetooth Headphones, Otium Wireless Sports Earphones w/ Mic IPX7...",1.0 out of 5 stars,"Not connecting to my iPhone 6 at all.

Update: Didn't connect to my boyfriend's iPhone 5 either. They did connect to my dad's Galaxy. I'm guessing these are just for Android devices. Sucks for me, but at least dad likes them..."
2,"Bluetooth Headphones, Otium Wireless Sports Earphones w/ Mic IPX7...",2.0 out of 5 stars,"The sound is not bad on these and the connection seems to extend pretty good before it drops. But these lasted 2 weeksish and now are totally dead. They won't charge, the won't connect, I tried multiple cords nothing works. I was listening to music at work, went on lunch and plugged them in to charge so when I came back, they would be good to go and totally dead. The charge is only good for about 4-5 hrs which is why I charge them on my break. I did it the same way everyday and today dead. Sucks cause I like to listen to music while I work. Nothing crazy happened while at lunch, no storms, power flicker nothing. I am giving two stars because the functionality was not bad when they worked. Glad it happened while I could still return them. Buy at your own risk."
3,"Bluetooth Headphones, Otium Wireless Sports Earphones w/ Mic IPX7...",4.0 out of 5 stars,I am really pleased with the excellent packaging of the product and really love the quality of sounds that it gives off. Don't exactly know if they are 100% sound canceling headphones but they do seem to blur out outside sound giving you everything you need to enjoy your entertainment. But I would say that there should be a clip on how to adjust the fitting. For example when the headphones are being used they kind are spread out and it just looks a bit awkward when the wire is so spread out. Just wished there was a adjustable clip because that would really give this product that finishing touch. Overall this product is very satisfying!
4,"Bluetooth Headphones, Otium Wireless Sports Earphones w/ Mic IPX7...",4.0 out of 5 stars,If you want a clean overall sound it's definitely great for the price. Highs and mids come of well. Bass is ok as long as you're not such a bass junkie. I mostly only use earbuds when I am working out. During my workouts I want bass heavy DnB and Hip Hop. It only does an adequate job for this type of music.
5,"Bluetooth Headphones, Otium Wireless Sports Earphones w/ Mic IPX7...",1.0 out of 5 stars,Didn't even work
6,"Bluetooth Headphones, Otium Wireless Sports Earphones w/ Mic IPX7...",1.0 out of 5 stars,"Worst Bluetooth ever, I cannot put my phone in my pants pocket without it cutting out. Your phone needs to be so close. Useless if you want to put your phone in your pocket well working out. Terrible product"
7,"Bluetooth Headphones, Otium Wireless Sports Earphones w/ Mic IPX7...",4.0 out of 5 stars,I really like these earphones except for the fact that they fit uncomfortable in my ears. I used the smallest attachment but they still fit big and bulky in my ears. Sound is great and easily connects to my device. The magnetic earbuds are also great. My only complaint is the fit. 😕
8,"Bluetooth Headphones, Otium Wireless Sports Earphones w/ Mic IPX7...",1.0 out of 5 stars,Kinda sucks had it for not even 2 weeks before it broke and since i didnt pay the warranty im out of luck great otherwise and good noise canceling
9,"Bluetooth Headphones, Otium Wireless Sports Earphones w/ Mic IPX7...",3.0 out of 5 stars,"Overall okay headphones. They work well for the price and have a relatively long battery life. However, the charger cord that they came with doesn't actually fit and won't charge them. I had another one from a different device that I tried and it happened to work, but otherwise I would be unable to use them. Also, they cut out sometimes for seemingly no reason. The headphones themselves are fine, but the charging cord issue is ridiculous."
0,"Bluetooth Headphones, Otium Wireless Sports Earphones w/ Mic IPX7...",4.0 out of 5 stars,"The sound quality and battery life on these earbuds are surprisingly good! Overall I’m very pleased with them for the price. I mainly use them at the gym or listening to music/podcasts while doing chores at home. I can usually go a room or two away from my phone without noticable static, which is great.

The only reason I give 4 stars is that none of the loops that came with them were a good fit for my ears - they all seemed too big and just didn’t fit properly. All of them make my ears sore after about 20-30 minutes, so I don’t use them. They stay in place pretty well without the loops, so this isn’t a deal breaker. Just a heads up for those with smaller ears!"
