,Product,Ratings,Reviews
6,Ailihen I35 Headphones with Microphone Stereo Lightweight Adjustable...,5.0 out of 5 stars,Awesome headphones! My six year old LOVES them. Great sound and volume control!
7,Ailihen I35 Headphones with Microphone Stereo Lightweight Adjustable...,2.0 out of 5 stars,"These work well for sound quality but the ear cover feel off when I took it out of the package. I was able to put it back on, but they both fell off after a few weeks of usage at school by my 9 yearold son."
8,Ailihen I35 Headphones with Microphone Stereo Lightweight Adjustable...,4.0 out of 5 stars,"I'm little, so I have little ears so I assumed these would fit over my ears no problem. The ear thing a bit small and hurts my ears after like three hours of use but the sound and mic quality is awesome, so I'm keeping them :)"
9,Ailihen I35 Headphones with Microphone Stereo Lightweight Adjustable...,5.0 out of 5 stars,Nice headphones wish they had volume control though.
0,Ailihen I35 Headphones with Microphone Stereo Lightweight Adjustable...,5.0 out of 5 stars,Bought for my 7 yr old for the plane...worked perfectly
1,Ailihen I35 Headphones with Microphone Stereo Lightweight Adjustable...,2.0 out of 5 stars,"looked good when first received. first time i tried it the connection to telephone was not tight. first time i bumped it disconnected. called my customer three times, so bad, so sad."
2,Ailihen I35 Headphones with Microphone Stereo Lightweight Adjustable...,5.0 out of 5 stars,"The headset is fine, comfortable, clear sound, sit and fit well on my head. They don't block out external sound effectively but that wasn't a high priority for me. I will use them while doing other things and won't want to be oblivious to what's going on around me."
3,Ailihen I35 Headphones with Microphone Stereo Lightweight Adjustable...,5.0 out of 5 stars,Super cute item. Nice color it appears to be durable I like that the earphone fold in . We had a different pair that lasted over 2 yrs I hope this one is as durable. The item received good ratings.
4,Ailihen I35 Headphones with Microphone Stereo Lightweight Adjustable...,5.0 out of 5 stars,"Very nice for the price. Comfortable, light with good sound. Will purchase a second pair from seller."
5,Ailihen I35 Headphones with Microphone Stereo Lightweight Adjustable...,2.0 out of 5 stars,They're super cute but doesn't work with my android note 5 and when you touch them they feel super cheap -.- I think they only work on iphones and apple products
6,Ailihen I35 Headphones with Microphone Stereo Lightweight Adjustable...,4.0 out of 5 stars,We gotta one for my 6 year old and 2 year old and it's absolutely perfect!!!
7,Ailihen I35 Headphones with Microphone Stereo Lightweight Adjustable...,5.0 out of 5 stars,Well made......and very comfortable...... and easier to fold than other headphones....I had in the past
8,Ailihen I35 Headphones with Microphone Stereo Lightweight Adjustable...,5.0 out of 5 stars,Outstanding production for the price!
9,Ailihen I35 Headphones with Microphone Stereo Lightweight Adjustable...,4.0 out of 5 stars,My daughter really liked these. FOr the most part they were comfortable for our long plane rides and car trips. She did have to take off her glasses after a while when wearing these though as the two together caused her some pain. Otherwise they are a good product.
0,Ailihen I35 Headphones with Microphone Stereo Lightweight Adjustable...,5.0 out of 5 stars,Excellent product very good sound and fit!
1,Ailihen I35 Headphones with Microphone Stereo Lightweight Adjustable...,5.0 out of 5 stars,"I absolutely ADORE these headphones: cute, comfortable and did I say cute? I will definitely buy again."
2,Ailihen I35 Headphones with Microphone Stereo Lightweight Adjustable...,5.0 out of 5 stars,I love these! Great sound in a little package (and price)
3,Ailihen I35 Headphones with Microphone Stereo Lightweight Adjustable...,5.0 out of 5 stars,Perfect! No more headphone slipping off my daughter's ears!
4,Ailihen I35 Headphones with Microphone Stereo Lightweight Adjustable...,5.0 out of 5 stars,"I LOVE THIS! i use them all the time, that have great sound. The colors are so cute and are bright and look just like the picture. They adjust and fold in for storage and the cord has a nice surrounding to protect from breaking or bending to much which is great because then it lasts longer."
5,Ailihen I35 Headphones with Microphone Stereo Lightweight Adjustable...,5.0 out of 5 stars,Work great!
6,Ailihen I35 Headphones with Microphone Stereo Lightweight Adjustable...,5.0 out of 5 stars,My daughter absolutely loves these
7,Ailihen I35 Headphones with Microphone Stereo Lightweight Adjustable...,5.0 out of 5 stars,Lightweight headphones for my daughter to use when studying. Sound quality is excellent.
8,Ailihen I35 Headphones with Microphone Stereo Lightweight Adjustable...,2.0 out of 5 stars,"The only time I get good quality music is if I hold the button down on the cord, otherwise its super quiet and sounds far away :( i've only had these for two days and they barely work"
9,Ailihen I35 Headphones with Microphone Stereo Lightweight Adjustable...,5.0 out of 5 stars,"Bought two of these headphones (different colors) and they are much nicer than I thought they would be based on the price. Shipped quickly, too. Highly recommended!"
0,Ailihen I35 Headphones with Microphone Stereo Lightweight Adjustable...,5.0 out of 5 stars,It is a good Headphone with a reasonable price..
1,Ailihen I35 Headphones with Microphone Stereo Lightweight Adjustable...,5.0 out of 5 stars,"Bought these for my son. Instant hit! He LOVES them!! We've gone through many different sets of headphones, and these have been the best by far."
2,Ailihen I35 Headphones with Microphone Stereo Lightweight Adjustable...,4.0 out of 5 stars,Great Product
3,Ailihen I35 Headphones with Microphone Stereo Lightweight Adjustable...,5.0 out of 5 stars,"Light weight, easy to wear for long periods. Foldable makes it easy to transport."
4,Ailihen I35 Headphones with Microphone Stereo Lightweight Adjustable...,5.0 out of 5 stars,GREAT product and very fast shipping!!
5,Ailihen I35 Headphones with Microphone Stereo Lightweight Adjustable...,5.0 out of 5 stars,My wife love them she said Excellent thanks for the good job
6,Ailihen I35 Headphones with Microphone Stereo Lightweight Adjustable...,5.0 out of 5 stars,"Had them for about a week and so far so good! Very cute, and a great fit for those with small heads. Would buy again."
7,Ailihen I35 Headphones with Microphone Stereo Lightweight Adjustable...,4.0 out of 5 stars,I am sending them back as you could not adjust the sound easily. I ordered another brand and am very happy with them.
8,Ailihen I35 Headphones with Microphone Stereo Lightweight Adjustable...,4.0 out of 5 stars,"The headphone is light, cord is braided, Every comfortable"
