,Comments,Date,Product,Ratings,Reviews,Title
8,Was this review helpful to you?, June 29 2013,Sony MDRE9LP/BLK Ear Buds,1.0 out of 5 stars,"I bought these earbuds about a week and a half ago, and they performed well in those few days. Afterwards, as I was holding an earbud in my hand, I dropped the earbuds on my glass table (not a very big drop to begin with, barely a foot) and the cover broke off the left one.

Guess that's how well a 7 dollar set of earbuds are made...",Well...
9,Was this review helpful to you?, March 4 2016,Sony MDRE9LP/BLK Ear Buds,5.0 out of 5 stars,good quality. As expected,Five Stars
,Comments,Date,Product,Ratings,Reviews,Title
0,Was this review helpful to you?, December 14 2015,Sony MDRE9LP/BLK Ear Buds,5.0 out of 5 stars,"I've had these headphones for a while now and I've had no problems. They are the best cheaper headphones I've ever purchased, definitely worth the money.",They are the best cheaper headphones I've ever purchased
1,Was this review helpful to you?, November 20 2012,Sony MDRE9LP/BLK Ear Buds,5.0 out of 5 stars,Great sound for the price and if you are our basing for a younger hold these actually sty in their ears. I went though 6 sets of headphones for my 6 yr old daughter because they would all fall out of her ears. This is he only pair we have ever used that we didn't have an issue with falling out.,Great Headphones
2,Was this review helpful to you?, November 19 2015,Sony MDRE9LP/BLK Ear Buds,5.0 out of 5 stars,This seems has better quality than the e10lp model. My first e9lp lasted me for more than 3.5 years and I just purchased another pair for replacement. They sound nice for its price and they are comfortable for long hours as well.,Lasted a lot longer than expected
3,Was this review helpful to you?, January 5 2016,Sony MDRE9LP/BLK Ear Buds,5.0 out of 5 stars,"These were awesome, I had the older versions and these work just as good, don't need those expensive ones!",Works WELL
4,One person found this helpful. Was this review helpful to you?, February 4 2015,Sony MDRE9LP/BLK Ear Buds,5.0 out of 5 stars,Great sound quality.,Five Stars
5,Was this review helpful to you?, September 30 2013,Sony MDRE9LP/BLK Ear Buds,5.0 out of 5 stars,"This earphone is very cheap but it has a good sound quality (at its price range). I don't think it does a very good job at high frequncies but ok job. If you just want a pair of inexpensive earbud that you can carry to everywhere without worrying about it, this is a good choice. I bought the gray ones and it looks good too.",good
6,One person found this helpful. Was this review helpful to you?, March 23 2015,Sony MDRE9LP/BLK Ear Buds,5.0 out of 5 stars,"Just as good as my Ipod original ear buds, which these replaced. I think my grandson ran off with my originals.",Just as good as my Ipod original ear buds
7,Was this review helpful to you?, March 29 2017,Sony MDRE9LP/BLK Ear Buds,5.0 out of 5 stars,Love these,Five Stars
8,Was this review helpful to you?, July 19 2014,Sony MDRE9LP/BLK Ear Buds,4.0 out of 5 stars,"breaks easily, but i'm also someone who loses things like crazy, so these being completely disposable is worth it",Four Stars
9,Was this review helpful to you?, July 4 2016,Sony MDRE9LP/BLK Ear Buds,5.0 out of 5 stars,Great sound. I use them all the time.,Five Stars
,Comments,Date,Product,Ratings,Reviews,Title
0,Was this review helpful to you?, April 24 2017,Sony MDRE9LP/BLK Ear Buds,1.0 out of 5 stars,Poor quality earphones.,One Star
1,One person found this helpful. Was this review helpful to you?, June 17 2013,Sony MDRE9LP/BLK Ear Buds,3.0 out of 5 stars,"Headphones are good for the price, but sound quality isn't amazing. There is some static-sound when you jostle the wires. Very comfortable to wear.",Not bad
2,Was this review helpful to you?, April 17 2017,Sony MDRE9LP/BLK Ear Buds,1.0 out of 5 stars,Very bad quality. have to return it.,Very bad quality
3,Was this review helpful to you?, February 25 2014,Sony MDRE9LP/BLK Ear Buds,5.0 out of 5 stars,"These ear buds are not the new, weird-shaped ear buds Apple has come out with. They are the normal, in-your-ear ear buds that fit comfortably and last a long time. I love all of Sony's electronics, including these ear buds. Would definitely recommend and will re-purchase..",Love these ear buds!
4,Was this review helpful to you?, December 29 2014,Sony MDRE9LP/BLK Ear Buds,2.0 out of 5 stars,Reeks of cheapness. The sound is tinny and there is no base. I have no idea why this is getting so many positive reviews.,Reeks of cheapness. The sound is tinny and there ...
5,Was this review helpful to you?, November 9 2016,Sony MDRE9LP/BLK Ear Buds,1.0 out of 5 stars,super cheap,One Star
6,Was this review helpful to you?, March 28 2013,Sony MDRE9LP/BLK Ear Buds,2.0 out of 5 stars,"Though they are not earbuds, the quality of the sound is not sharp. They slip out of my ears sometimes. This is basically just a backup pair incase my other ones are not working.",The sound quality is not great! Purchase if you want for your kids or younger crowd
